,U,target_U,nbt,AMCmax,Greedy,EDFVD_test,LPA,OCBP,PLRS,Vestal,LWLF,LWLF_t,LWLF_n_states,EDFVD,EDFVD_t,EDFVD_n_states
67,0.4589285714285714,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.56134080886841,45164.0,1.0,67.89896607398987,38204.0
68,0.45534093855327973,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.77648091316223,15736.0,1.0,31.42925786972046,15232.0
69,0.45555555555555555,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0147640705108643,104.0,1.0,1.9133551120758057,104.0
70,0.47023809523809523,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6302011013031006,310.0,1.0,2.5518438816070557,300.0
71,0.46691176470588236,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7623400688171387,48.0,1.0,0.7809343338012695,48.0
72,0.4669986435353752,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,206.04074001312256,135580.0,1.0,174.86387181282043,111964.0
73,0.46600877192982454,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5209720134735107,344.0,1.0,2.4088828563690186,336.0
74,0.47480106100795755,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5268471240997314,256.0,1.0,2.6561570167541504,256.0
75,0.46998722860791825,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8490357398986816,512.0,1.0,2.8574461936950684,446.0
76,0.4676470588235294,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5620243549346924,364.0,1.0,1.5012261867523193,264.0
77,0.46590909090909094,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.022292375564575,126.0,1.0,2.110618829727173,126.0
78,0.4700854700854701,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3312108516693115,194.0,1.0,1.2127342224121094,152.0
79,0.46835839598997486,0.47,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.034791231155396,8871.0,1.0,11.10801100730896,7071.0
80,0.4766081871345029,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6922109127044678,74.0,1.0,1.5977296829223633,74.0
81,0.47575914423740506,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.466081857681274,5100.0,1.0,6.730457067489624,4131.0
82,0.4833333333333333,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6135060787200928,120.0,1.0,1.493682861328125,120.0
83,0.4844827586206896,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2884867191314697,150.0,1.0,2.2771379947662354,150.0
84,0.47992530345471524,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.842160940170288,5226.0,1.0,12.452912092208862,5076.0
85,0.4849137931034483,0.48,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5057740211486816,248.0,1.0,2.611586809158325,248.0
86,0.47619047619047616,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.822103977203369,1524.0,1.0,4.674351930618286,1524.0
87,0.4772727272727273,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.989400863647461,264.0,1.0,2.278247833251953,258.0
88,0.47857142857142854,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.7744369506836,97140.0,1.0,128.5598919391632,76908.0
89,0.48457792207792205,0.48,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8460109233856201,447.0,1.0,2.0451507568359375,432.0
90,0.49399164054336464,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.267667055130005,4662.0,1.0,6.783318996429443,4059.0
91,0.49261083743842365,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.36495304107666,2670.0,1.0,6.460812091827393,2481.0
92,0.49137931034482757,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.516140937805176,348.0,1.0,3.3641459941864014,348.0
93,0.4929653679653679,0.49,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.350398063659668,966.0,1.0,4.3307578563690186,966.0
